"CodeCanton";"Inscrits";"Votants";"Exprimés";"PC";"EXG";"SOC";"RDG";"DVG";"UDF";"RPR";"DVD";"FN";"ECO";"CodeDpt"
"7645";5795;3455;3344;355;0;762;36;26;1847;0;78;240;0;"76"
"7646";9592;5500;5308;528;167;1533;0;76;1323;1130;0;551;0;"76"
"7647";11138;6169;5976;999;0;1640;0;0;1623;1170;0;544;0;"76"
"7650";6050;4339;4193;319;0;991;0;0;2575;0;0;308;0;"76"
"7652";7424;5938;5826;248;0;2161;0;0;1373;841;1028;175;0;"76"
"7653";6978;5069;4904;322;0;1206;0;0;0;0;3105;271;0;"76"
"7659";14741;7520;7201;2479;355;1819;0;0;1687;0;0;861;0;"76"
"7663";12708;8947;8600;4264;0;1346;0;0;0;1996;369;625;0;"76"
"7665";19429;11386;10982;946;0;3128;0;0;0;5840;0;1068;0;"76"
"7668";8290;4906;4772;368;172;1399;0;57;2368;0;0;408;0;"76"
"7669";15233;8985;8579;3674;0;1836;0;0;0;2320;0;749;0;"76"
"7670";14609;8666;8365;1190;121;2725;0;0;3429;0;331;569;0;"76"
"7705";7848;5581;5449;283;0;1737;0;0;684;950;1248;547;0;"77"
"7712";12957;8937;8647;1356;0;1520;0;0;950;3218;0;1603;0;"77"
"7714";25181;15866;15513;1232;0;3585;0;0;1366;6673;0;2657;0;"77"
"7715";8109;5544;5338;418;170;1243;0;297;2479;0;0;731;0;"77"
"7717";19847;12162;11784;842;1;4145;0;0;2295;2765;277;1459;0;"77"
"7719";11905;6969;6785;397;0;1340;0;83;3372;747;0;846;0;"77"
"7720";18400;12520;12061;2409;311;2713;0;0;0;4477;666;1485;0;"77"
"7721";18115;11604;11239;1521;0;2997;0;0;0;0;5308;1413;0;"77"
"7722";10154;7151;6994;391;1;859;2577;0;0;2298;0;594;274;"77"
"7724";16222;10587;10219;1025;0;2411;0;0;2417;3166;0;1200;0;"77"
"7725";12610;8435;8169;1790;0;1173;349;0;0;2203;1974;680;0;"77"
"7726";6999;4814;4686;431;0;813;0;0;2878;0;0;564;0;"77"
"7727";11277;7566;7338;763;247;1213;0;0;0;3123;1100;892;0;"77"
"7728";11653;7394;7197;714;171;1285;0;0;0;0;3988;1039;0;"77"
"7729";4773;3307;3189;261;0;364;0;0;0;0;2218;346;0;"77"
"7733";17092;10060;9788;753;188;3984;0;0;0;2912;591;1360;0;"77"
"7734";25648;15452;14965;1139;282;4511;0;0;0;2931;4304;1798;0;"77"
"7735";8844;5436;5239;720;0;1490;0;442;822;1003;762;0;0;"77"
"7736";17541;9875;9566;1736;1;2200;0;151;1335;1612;690;1841;0;"77"
"7738";10101;6090;5942;1767;0;1280;0;279;1401;523;0;692;0;"77"
"7739";7346;4442;4331;380;71;1704;0;405;0;704;597;470;0;"77"
"7740";11023;7036;6871;478;0;3297;0;0;990;1036;138;932;0;"77"
"7801";16998;10215;9877;695;255;2586;0;0;0;4487;154;1700;0;"78"
"7803";20350;11119;10925;408;115;2187;0;0;0;0;6712;1503;0;"78"
"7806";19562;11430;11025;956;203;4187;0;0;1286;2752;98;1543;0;"78"
"7807";9921;6328;6147;488;0;1112;0;0;0;0;3537;1010;0;"78"
"7808";12922;8626;8372;510;0;1635;0;0;0;0;5031;1196;0;"78"
"7810";18075;12152;11815;1702;252;2644;0;0;0;0;5739;1478;0;"78"
"7813";18392;11033;10867;568;0;1603;0;1272;6111;0;74;1239;0;"78"
"7815";22263;14508;14165;1070;0;3004;0;0;0;7239;1019;1833;0;"78"
"7817";12434;7728;7541;734;84;1168;0;558;0;0;3857;1140;0;"78"
"7819";10379;7217;7070;347;0;2497;0;0;1728;1682;60;756;0;"78"
"7821";15805;9302;9056;403;0;1654;0;0;0;5816;86;1097;0;"78"
"7823";25771;14735;14419;3170;165;2946;0;362;3424;1344;892;2116;0;"78"
"7827";7864;4827;4764;81;0;637;0;0;2649;0;591;806;0;"78"
"7829";25246;14765;14432;723;0;3240;0;0;8220;0;234;2015;0;"78"
"7830";18422;12006;11808;514;0;2010;0;0;7233;0;381;1670;0;"78"
"7832";19824;10971;10737;338;0;1836;0;0;6540;0;190;1833;0;"78"
"7835";15230;9111;8875;361;0;2171;0;0;0;4866;141;1336;0;"78"
"7836";23974;13926;13516;2738;0;2677;0;0;0;0;6151;1950;0;"78"
"7838";22147;13122;12753;2166;102;3044;615;0;2486;1681;1493;1166;0;"78"
"7839";12559;7211;6988;529;122;1636;0;0;3589;0;91;1021;0;"78"
"7906";6349;4504;4311;302;0;1183;0;0;2826;0;0;0;0;"79"
"7907";9575;7683;7447;70;0;3207;0;0;0;4170;0;0;0;"79"
"7908";4045;2826;2696;184;0;497;0;0;0;0;2015;0;0;"79"
"7911";7425;5514;5308;122;0;1909;0;0;0;3036;0;241;0;"79"
"7913";5124;3428;3026;243;0;0;0;2538;0;0;0;245;0;"79"
